Timestamp_,P_,R_,Y_,TimestampM,P,R,Y
3165894436863,0,0,0,1582947218431,0,0,0
3165894436883,0,0,0,1582947218441,0,0,0
3165894436904,0,0,0,1582947218452,0,0,0
3165894436923,0,0,0,1582947218461,0,0,0
3165894436944,0,0,0,1582947218472,0,0,0
3165894436964,0,0,0,1582947218482,0,0,0
3165894436984,0,0,0,1582947218492,0,0,0
3165894437004,0,0,0,1582947218502,0,0,0
3165894437024,0,0,0,1582947218512,0,0,0
3165894437044,0,0,0,1582947218522,0,0,0
3165894437064,0,0,0,1582947218532,0,0,0
3165894437084,0,0,0,1582947218542,0,0,0
3165894437104,0,0,0,1582947218552,0,0,0
3165894437124,0,0,0,1582947218562,0,0,0
3165894437145,0,0,0,1582947218572,0,0,0
3165894437164,0,0,0,1582947218582,0,0,0
3165894437184,0,0,0,1582947218592,0,0,0
3165894437205,0,0,0,1582947218602,0,0,0
3165894437225,0,0,0,1582947218612,0,0,0
3165894437245,0,0,0,1582947218622,0,0,0
3165894437265,0,0,0,1582947218632,0,0,0
3165894437285,0,0,0,1582947218642,0,0,0
3165894437305,0,0,0,1582947218652,0,0,0
3165894437325,0,0,0,1582947218662,0,0,0
3165894437345,0,0,0,1582947218672,0,0,0
3165894437365,0,0,0,1582947218682,0,0,0
3165894437386,0,0,0,1582947218693,0,0,0
3165894437405,0,0,0,1582947218702,0,0,0
3165894437426,0,0,0,1582947218713,0,0,0
3165894437445,0,0,0,1582947218722,0,0,0
3165894437465,0,0,0,1582947218732,0,0,0
3165894437486,0,0,0,1582947218743,0,0,0
3165894437506,0,0,0,1582947218753,0,0,0
3165894437526,0,0,0,1582947218763,0,0,0
3165894437546,0,0,0,1582947218773,0,0,0
3165894437566,0,0,0,1582947218783,0,0,0
3165894437586,0,0,0,1582947218793,0,0,0
3165894437607,0,0,0,1582947218803,0,0,0
3165894437627,0,0,0,1582947218813,0,0,0
3165894437646,0,0,0,1582947218823,0,0,0
3165894437666,0,0,0,1582947218833,0,0,0
3165894437686,0,0,0,1582947218843,0,0,0
3165894437706,0,0,0,1582947218853,0,0,0
3165894437727,0,0,0,1582947218863,0,0,0
3165894437746,0,0,0,1582947218873,0,0,0
3165894437767,0,0,0,1582947218883,0,0,0
3165894437787,0,0,0,1582947218893,0,0,0
3165894437807,0,0,0,1582947218903,0,0,0
3165894437827,0,0,0,1582947218913,0,0,0
3165894437847,0,0,0,1582947218923,0,0,0
3165894437867,0,0,0,1582947218933,0,0,0
3165894437887,0,0,0,1582947218943,0,0,0
3165894437907,0,0,0,1582947218953,0,0,0
3165894437927,0,0,0,1582947218963,0,0,0
3165894437947,0,0,0,1582947218973,0,0,0
3165894437967,0,0,0,1582947218983,0,0,0
3165894437987,0,0,0,1582947218993,0,0,0
3165894438007,0,0,0,1582947219003,0,0,0
3165894438027,0,0,0,1582947219013,0,0,0
3165894438047,0,0,0,1582947219023,0,0,0
3165894438068,0,0,0,1582947219034,0,0,0
3165894438087,0,0,0,1582947219043,0,0,0
3165894438108,0,0,0,1582947219054,0,0,0
3165894438128,0,0,0,1582947219064,0,0,0
3165894438148,0,0,0,1582947219074,0,0,0
3165894438168,0,0,0,1582947219084,0,0,0
3165894438188,0,0,0,1582947219094,0,0,0
3165894438208,0,0,0,1582947219104,0,0,0
3165894438228,0,0,0,1582947219114,0,0,0
3165894438249,0,0,0,1582947219124,0,0,0
3165894438269,0,0,0,1582947219134,0,0,0
3165894438289,0,0,0,1582947219144,0,0,0
3165894438309,0,0,0,1582947219154,0,0,0
3165894438329,0,0,0,1582947219164,0,0,0
3165894438349,0,0,0,1582947219174,0,0,0
3165894438370,0,0,0,1582947219185,0,0,0
3165894438389,0,0,0,1582947219194,0,0,0
3165894438409,0,0,0,1582947219204,0,0,0
3165894438429,0,0,0,1582947219214,0,0,0
3165894438449,0,0,0,1582947219224,0,0,0
3165894438469,0,0,0,1582947219234,0,0,0
